      0.92,      0.78,      0.45,      0.00,      0.56,      0.34,      0.15,      0.64
      0.75,      0.89,      0.89,      0.82,      0.73,      0.91,      0.45,      0.78
      0.15,      0.51,      0.54,      0.50,      0.16,      0.47,      0.46,      0.86
      0.81,      0.84,      0.47,      0.42,      0.57,      0.76,      0.91,      0.85
      0.16,      0.23,      0.19,      0.20,      0.79,      0.73,      0.72,      0.83
      0.28,      0.01,      0.03,      0.00,      0.44,      0.00,      0.30,      0.49
      0.89,      0.86,      0.53,      0.59,      0.11,      0.20,      0.04,      0.05
      0.79,      0.68,      0.74,      0.69,      0.62,      0.37,      0.26,      0.04
      0.86,      0.85,      0.77,      0.47,      0.00,      0.00,      0.00,      0.03
      0.46,      0.60,      0.55,      0.47,      0.16,      0.02,      0.03,      0.08
      0.61,      0.65,      0.19,      0.10,      0.88,      0.88,      0.80,      0.60
      0.26,      0.29,      0.16,      0.33,      0.84,      0.84,      0.75,      0.80
      0.00,      0.01,      0.08,      0.68,      0.83,      0.83,      0.65,      0.56
      0.90,      0.87,      0.65,      0.67,      0.65,      0.92,      0.85,      0.82
